                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8832,                 3.3089,                 1.7379,                0.24744,                0.07766,                0.04438,                0.01853,                  2.031,                 3.9342,                  2.052,               0.067398,             0.00066535,             0.00066535
                      2,                  1.904,                  3.091,                 1.8356,                0.35447,                0.12331,                0.04227,                0.01943,                 1.9322,                 3.4283,                 1.9559,               0.034705,              0.0013056,              0.0013056
                      3,                 1.8516,                  3.003,                 1.7965,                0.28042,                0.11089,                0.06366,                0.02901,                 1.8498,                  3.101,                 1.8846,              0.0019854,              0.0019195,              0.0019195
                      4,                 1.8302,                 2.8784,                 1.7693,                0.41211,                0.10737,                0.07965,                0.03706,                 1.7643,                 2.8901,                 1.7946,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.7572,                 2.8631,                 1.7043,                0.30453,                0.10646,                 0.0788,                  0.037,                 1.7535,                 2.8464,                 1.7699,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.7347,                 2.9724,                 1.6842,                0.39058,                0.13745,                0.08756,                0.04302,                 1.7069,                 2.6344,                  1.703,               0.001802,               0.001802,               0.001802
                      7,                 1.7393,                 2.6745,                 1.6619,                0.48346,                0.14971,                0.09202,                0.04512,                 1.6725,                 2.6754,                 1.6737,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.6591,                 2.6444,                 1.6233,                0.51601,                0.16085,                0.09804,                0.05315,                 1.6446,                 2.5202,                 1.6859,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.6979,                 2.6051,                 1.6475,                0.31228,                0.17392,                0.10664,                 0.0559,                 1.6645,                 2.4319,                 1.6865,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.6673,                  2.592,                 1.6172,                0.52936,                0.14395,                0.11345,                 0.0591,                 1.6357,                 2.4388,                 1.6672,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.6335,                 2.4669,                 1.5967,                0.33078,                0.19667,                0.13212,                0.07162,                 1.5916,                 2.4076,                 1.6205,               0.001604,               0.001604,               0.001604
                     12,                 1.6259,                 2.4718,                  1.587,                0.62079,                0.16491,                0.13115,                 0.0674,                    1.6,                 2.3598,                 1.6313,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.6051,                 2.4176,                 1.5756,                0.43274,                0.19309,                0.13789,                0.07623,                 1.5778,                 2.2319,                 1.6185,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.6275,                  2.436,                  1.579,                0.55276,                 0.1649,                0.14422,                0.08091,                  1.567,                 2.1416,                 1.6016,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.5593,                 2.3927,                 1.5525,                 0.5495,                0.18072,                0.14663,                0.07967,                 1.5902,                 2.1814,                 1.6118,              0.0014456,              0.0014456,              0.0014456
